direction,seed,split_seed,shot_k,alpha,distance,file_acc,macro_f1
rx1_to_rx2,1,2,3,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,2,5,0.0,cosine,0.5833333333333334,0.46527777777777773
rx1_to_rx2,1,2,5,0.25,cosine,0.4166666666666667,0.3333333333333333
rx1_to_rx2,1,2,5,0.5,cosine,0.3333333333333333,0.2638888888888889
rx1_to_rx2,1,2,5,0.75,cosine,0.20833333333333334,0.18055555555555555
rx1_to_rx2,1,2,5,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,2,10,0.0,cosine,0.75,0.6805555555555555
rx1_to_rx2,1,2,10,0.25,cosine,0.625,0.5375
rx1_to_rx2,1,2,10,0.5,cosine,0.25,0.20833333333333334
rx1_to_rx2,1,2,10,0.75,cosine,0.20833333333333334,0.18055555555555555
rx1_to_rx2,1,2,10,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,2,20,0.0,cosine,0.8333333333333334,0.7777777777777777
rx1_to_rx2,1,2,20,0.25,cosine,0.7083333333333334,0.6388888888888888
rx1_to_rx2,1,2,20,0.5,cosine,0.375,0.3194444444444444
rx1_to_rx2,1,2,20,0.75,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,1,2,20,1.0,cosine,0.16666666666666666,0.13888888888888887
rx1_to_rx2,2,0,1,0.0,cosine,0.5,0.38888888888888884
rx1_to_rx2,2,0,1,0.25,cosine,0.4583333333333333,0.3541666666666667
rx1_to_rx2,2,0,1,0.5,cosine,0.25,0.16249999999999998
rx1_to_rx2,2,0,1,0.75,cosine,0.20833333333333334,0.13194444444444445
rx1_to_rx2,2,0,1,1.0,cosine,0.25,0.16319444444444442
rx1_to_rx2,2,0,3,0.0,cosine,0.5833333333333334,0.4791666666666667
rx1_to_rx2,2,0,3,0.25,cosine,0.5416666666666666,0.4236111111111111
rx1_to_rx2,2,0,3,0.5,cosine,0.3333333333333333,0.21388888888888888
rx1_to_rx2,2,0,3,0.75,cosine,0.2916666666666667,0.18055555555555555
rx1_to_rx2,2,0,3,1.0,cosine,0.25,0.16319444444444442
rx1_to_rx2,2,0,5,0.0,cosine,0.75,0.6833333333333332
