receiver,model,seed,condition,accuracy,macro_f1,n_eval
b200_mini_2,C'-OOB,1,left_scale_0.5,0.1015,0.03377870494056602,2000
b200_mini_2,C'-OOB,1,right_scale_0.5,0.938,0.938375669169489,2000
b200_mini_2,C'-OOB,2,clean,0.907,0.9051537520732639,2000
b200_mini_2,C'-OOB,2,scale_0.5,0.1,0.01839926402935419,2000
b200_mini_2,C'-OOB,2,scale_0.70710678,0.201,0.1145940237800496,2000
b200_mini_2,C'-OOB,2,scale_1.41421356,0.2435,0.1293614912034908,2000
b200_mini_2,C'-OOB,2,scale_2.0,0.197,0.08604001007950081,2000
b200_mini_2,C'-OOB,2,shuffle,0.0305,0.03147599939505984,2000
b200_mini_2,C'-OOB,2,neutral,0.1495,0.06056136216751347,2000
b200_mini_2,C'-OOB,2,left_scale_0.5,0.1,0.018407731247039084,2000
b200_mini_2,C'-OOB,2,right_scale_0.5,0.906,0.9038978223947138,2000
b200_mini_2,C'-OOB,3,clean,0.893,0.8914234015706386,2000
b200_mini_2,C'-OOB,3,scale_0.5,0.1,0.018390804597616595,2000
b200_mini_2,C'-OOB,3,scale_0.70710678,0.1055,0.03904608457624411,2000
b200_mini_2,C'-OOB,3,scale_1.41421356,0.275,0.18967787410097103,2000
b200_mini_2,C'-OOB,3,scale_2.0,0.148,0.0956862745066529,2000
b200_mini_2,C'-OOB,3,shuffle,0.028,0.026743332983069273,2000
b200_mini_2,C'-OOB,3,neutral,0.1145,0.04250262333396766,2000
b200_mini_2,C'-OOB,3,left_scale_0.5,0.1,0.018382352941091994,2000
b200_mini_2,C'-OOB,3,right_scale_0.5,0.884,0.8821672522065478,2000
b200_mini_2,C'-OOB,4,clean,0.7805,0.7792460715539187,2000
b200_mini_2,C'-OOB,4,scale_0.5,0.1,0.01999000499740135,2000
b200_mini_2,C'-OOB,4,scale_0.70710678,0.168,0.08300032950781652,2000
b200_mini_2,C'-OOB,4,scale_1.41421356,0.2605,0.1605940437769657,2000
b200_mini_2,C'-OOB,4,scale_2.0,0.2,0.09100509261473164,2000
b200_mini_2,C'-OOB,4,shuffle,0.0435,0.040418305018200706,2000
b200_mini_2,C'-OOB,4,neutral,0.1015,0.02113840480558183,2000
b200_mini_2,C'-OOB,4,left_scale_0.5,0.1,0.019636720667552104,2000
b200_mini_2,C'-OOB,4,right_scale_0.5,0.754,0.7514353889127718,2000
b200_mini_2,C'-TrueIB,0,clean,0.797,0.7840750741215133,2000
b200_mini_2,C'-TrueIB,1,clean,0.336,0.3056969168593215,2000
b200_mini_2,C'-TrueIB,2,clean,0.796,0.7891240190396461,2000
b200_mini_2,C'-TrueIB,3,clean,0.752,0.7332929783126925,2000
b200_mini_2,C'-TrueIB,4,clean,0.301,0.23359485345459322,2000
b210_2,Shen-CIS,0,clean,0.997,0.9969998562171444,2000
b210_2,Shen-CIS,1,clean,0.9975,0.9974997968300403,2000
b210_2,Shen-CIS,2,clean,0.9945,0.994498918396715,2000
b210_2,Shen-CIS,3,clean,0.996,0.9959992998225646,2000
b210_2,Shen-CIS,4,clean,0.9985,0.9984999905999787,2000
b210_2,Shen-RA,0,clean,0.996,0.995998399334842,2000
b210_2,Shen-RA,1,clean,0.9975,0.9974999124702963,2000
b210_2,Shen-RA,2,clean,0.9915,0.9914961570002081,2000
b210_2,Shen-RA,3,clean,0.998,0.9979974403473186,2000
b210_2,Shen-RA,4,clean,0.9965,0.9964993216981576,2000
b210_2,B1-OOB,0,clean,0.4045,0.3186189723512124,2000
b210_2,B1-OOB,0,scale_0.5,0.1,0.01818181818173554,2000
b210_2,B1-OOB,0,scale_0.70710678,0.1,0.01818181818173554,2000
b210_2,B1-OOB,0,scale_1.41421356,0.166,0.0608541635212859,2000
b210_2,B1-OOB,0,scale_2.0,0.151,0.06391192476842009,2000
b210_2,B1-OOB,0,shuffle,0.0915,0.07251217834056989,2000
b210_2,B1-OOB,0,neutral,0.12,0.053296260520413793,2000
b210_2,B1-OOB,0,left_scale_0.5,0.1,0.01818181818173554,2000
b210_2,B1-OOB,0,right_scale_0.5,0.375,0.2755506536114004,2000
b210_2,B1-OOB,1,clean,0.546,0.5008032148759718,2000
b210_2,B1-OOB,1,scale_0.5,0.1,0.018357044515748707,2000
b210_2,B1-OOB,1,scale_0.70710678,0.1,0.024081878386369167,2000
b210_2,B1-OOB,1,scale_1.41421356,0.1085,0.040797196745471866,2000
b210_2,B1-OOB,1,scale_2.0,0.122,0.044202916909057796,2000
b210_2,B1-OOB,1,shuffle,0.0955,0.07733109756028603,2000
b210_2,B1-OOB,1,neutral,0.154,0.08965513732451798,2000
b210_2,B1-OOB,1,left_scale_0.5,0.1,0.01839926402935419,2000
b210_2,B1-OOB,1,right_scale_0.5,0.3225,0.25981924113000243,2000
b210_2,B1-OOB,2,clean,0.6415,0.6210115069578241,2000
b210_2,B1-OOB,2,scale_0.5,0.1,0.01818181818173554,2000
b210_2,B1-OOB,2,scale_0.70710678,0.1,0.018340210912341403,2000
b210_2,B1-OOB,2,scale_1.41421356,0.1125,0.0456567669602095,2000
b210_2,B1-OOB,2,scale_2.0,0.1,0.0199999999999,2000
b210_2,B1-OOB,2,shuffle,0.1405,0.13034938070336827,2000
